stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
393,393,Chili & 2903 Chili,STATE HWY 33A & MARSHALL RD,43.116213,-77.725181,,,,
394,394,Chili & 2908 Chili,STATE HWY 33A & MARSHALL RD,43.116335,-77.725638,,,,
395,395,Chili & 3235 Chili,STATE HWY 33A & OLD SCOTTSVILLE CHILI RD,43.104515,-77.751373,,,,
396,396,Chili & Route 390 Off Ramp,STATE HWY 33A & I 390 S,43.138672,-77.670238,,,,
397,397,Chili & 953 Chili,,43.141768,-77.661253,,,,
399,399,Chili & Archer,STATE HWY 33A & ARCHER RD,43.113649,-77.732748,,,,
400,400,Chili & Ardmore,STATE HWY 33A & ARDMORE ST,43.149564,-77.638342,,,,
401,401,Chili & Ardmore,STATE HWY 33A & ARDMORE ST,43.149758,-77.638119,,,,
405,405,Chili & Bright Oaks,STATE HWY 33A & BRIGHT OAKS DR,43.116057,-77.727742,,,,
407,407,Chili & Old Beahan,STATE HWY 33A & OLD BEAHAN RD,43.132105,-77.686209,,,,
408,408,Chili & Bryn Mawr,STATE HWY 33A & BRYN MAWR RD,43.12731,-77.700228,,,,
409,409,Chili & Buell,STATE HWY 33A & BRYN MAWR RD,43.139859,-77.6674,,,,
410,410,Chili & Buell,STATE HWY 33A & BRYN MAWR RD,43.139911,-77.666658,,,,
411,411,Chili & Cairn,STATE HWY 33A & CAIRN ST,43.14059,-77.665174,,,,
413,413,Chili & Chestnut,STATE HWY 33A & CHESTNUT DR,43.11761,-77.720728,,,,
414,414,Chili & Chestnut,STATE HWY 33A & CHESTNUT DR,43.117684,-77.72088,,,,
415,415,Chili & Chi Mar,STATE HWY 33A & CHI MAR DR,43.119048,-77.717527,,,,
416,416,Chili & Depew,STATE HWY 33A & DEPEW ST,43.144638,-77.653267,,,,
417,417,Chili & Dorstone,STATE HWY 33A & DORSTONE RD,43.133292,-77.684649,,,,
419,419,Chili & Douglas,STATE HWY 33A & DOUGLAS DR,43.118748,-77.717971,,,,
